igoID,igoAbbr,igoShortName,igoLongName,StartYear,EndYear,EndReason,Notes
3110,ISUPT,Intl Sec for Unification Pharmaco,International Secretariat for the Unification of Pharmacological Terms,1902.0,1914.0,,
3130,ISuC,Intl Sugar Council,International Sugar Council,1937.0,1967.0,replaced,
3180,ITC,Intl Tin Council,International Tin Council,1956.0,1990.0,,
3175,ITCC,Intl Telegraph Consultative Cmte,International Telegraph Consultative Committee,1925.0,1956.0,,
3150,ITCLE,Intl Tech Cmte Legal Experts Air Questions,International Technical Committee of Legal Experts on Air Questions,1926.0,1941.0,,
3140,ITPA,Int'l Tea Promotion Assoc.,International Tea Promotion Association (ITPA),1977.0,1984.0,,
3185,ITRO,"International Tripartite Rubber Organization, Thailand","International Tripartite Rubber Organization, Thailand (ITRO)",2002.0,,,http://www.cbfp.org/;  http://www.ghsi.ca/english/index.asp;  http://www.earthobservations.org/;  http://www.icc-cpi.int/home.html&l=en; 
3190,ITTO,Int'l Tropical Timber Org,International Tropical Timber Organization (ITTO),1987.0,,,
3160,ITU,Intl Telecom Union,International Telecommunication Union,1865.0,,,
2310,ITVRC,Intgvt TV & Radio Corp,Intergovernmental TV & Radio Corporation (ITRC MIR),1992.0,,,
2315,IUIC,Intergovernmental University of Cooperation,Intergovernmental University of Cooperation (IUIC),2001.0,,,"http://www.marri-rc.org/;  http://www.acdi-cida.gc.ca/CIDAWEB/acdicida.nsf/En/JUD-5292536-HRK;  http://www.nwhf.no/;   Website (accessed 10/31/08) indicates that Board of Governors consists of reps from UNESCO plus 5 states: Norway, Denmark, Finland, Iceland, Sweden.; http://www.africa-union.org/root/au/organs/Pan-African_Parliament_en.htm;  http://usinfo.state.gov/products/pubs/proliferation/ - http://www.state.gov/t/isn/c10390.htm; "
3220,IUPCT,Intl Union Publication of Customs Tariffs,International Union for the Publication of Customs Tariffs,1890.0,,,
3200,IUPIP,Intl Union for Protection of Industrial Prop,International Union for the Protection of Industrial Property,1883.0,,,
3210,IUPLAW,Intl Union for Protection of Lit & Art Works,International Union for the Protection of Literary and Artistic Works (Berne Uni,1886.0,,,
4360,IUPNVP,Union for Protection of New Varieties of Plants,Union for the Protection of New Varieties of Plants/International Union of the P,1961.0,,,
3230,IUPR,Intl Union of Pruth,International Union of Pruth (River),1866.0,1914.0,,
3240,IVWO,Intl Vine & Wine Office,International Vine and Wine Office,1924.0,2003.0,replaced,
3270,IWSG,Intl Wool Study Group,International Wool Study Group,1947.0,1992.0,,
3250,IWhale,Intl Whaling Comm,International Whaling Commission,1946.0,,,
3280,Iocean,Interoceanmetall,Interoceanmetal,1987.0,,,
3340,JALAAO,Joint Anti-Locust & Anti-Aviarian Org.,Joint Anti-Locust and Anti-Aviarian Organization,1965.0,2001.0,,
3350,JINR,Joint Instit for Nuke Research,Joint Institute for Nuclear Research,1956.0,,,
3360,JNOLCRH,Joint Nordic Org. Lappish Culture & Reindeer,Joint Nordic Organization for Lappish Culture and Reindeer Husbandry,1965.0,2000.0,,
3380,LACAC,L/A Civil Aviation Comm.,Latin American Civil Aviation Commission (LACAC),1973.0,,,
3370,LACP,Latin Am Center for Physics,Latin American Center for Physics,1962.0,,,
3410,LAEO,Latin American Energy Org.,Latin American Energy Organization,1973.0,,,
3420,LAFDO,L/A Fisheries Devel. Org.,Latin American Fisheries Development Organization,1982.0,,,
3428,LAFTA,Latin American Free Trade Area,Latin American Free Trade Association,1961.0,1980.0,replaced,
3430,LAIA,Latin Am Integration Assn,Latin American Integration Association (LAIA),1980.0,,,
3400,LAIEC,Latin American Institute of Communication,Latin American Educational Film Institute/Latin American Institute of Communicat,1956.0,,,
3440,LATIN,Latin Union,Latin Union,1954.0,,,
1150,LCBC,Lake Chad Basin Comm,Commission of the Chad Basin/Lake Chad Basin Commission,1964.0,,,
3470,LGIDA,Liptako-Gourma Integrated Dev. Auth.,Liptako-Gourma Integrated Development Authority (LGA),1970.0,,,
3450,LOAS,League of Arab States,League of Arab States,1945.0,,,
3460,LoN,League of Nations,League of Nations,1920.0,1945.0,replaced,
3505,MARRI,"Migration, Asylum, Refugees Regional Initiative","Migration, Asylum, Refugees Regional Initiative (MARRI)",2003.0,,,"http://www.iter.org/;  http://www.acwl.ch/;   [Per org's website (accessed 3/12/08), 20 LDCs and 9 MDCs became members by signing initial agreement. Later, 7 LCDs and 1 MDC became members via accession: Jordan (2002), Oman (2003), Mauritius (2003), Turkey (2003), El Salvador (2004), Indo; http://www.amcow.org/;   Per 2002 Abuja Declaration on Zambian government's website (accessed 3/12/08), there were 43 initial governments listed [I used this to code initial membership]."
3520,MCPTTC,Multi-Country Posts & Telecomm. Training Center,"Multi-Country Posts and Telecommunications Training Centre, Blantyre/not indep u",1984.0,,,
3510,MCWCASM,Minist Conf of West & Cent African States on Maritime,Ministerial Conference of West and Central African States on Maritime,1975.0,,,
3500,MEMTTA,Mideast & Medit. Travel & Tourism Assoc.,Middle East - Mediterranean Travel and Tourism Association (MEMTTA),1995.0,,,
3550,MFO,Multilateral Force Org.,Multinational Force and Observers (MFO),1981.0,,,
3540,MIGA,Multilateral Investment Guarantee Agency,Multilateral Investment Guarantee Agency (MIGA),1988.0,,,
3545,MOPAN,Multilateral Organizations Performance Assessment Network,Multilateral Organizations Performance Assessment Network (MOPAN),2002.0,,,"http://www.bibalex.org/;  http://www.segib.org/;   Per Final Declaration of 2003 Summit (pdf on org's website 6/21/08), 21 countries participated in 2003 Summit that created Secretariat (Andorra joined in 2004, per Wikipedia).; http://www.wmdcommission.org/; The Commission has 14 members: the Chairman plus 13 Commissioners chosen by him [these individuals come from: Sweden (chair), Australia, Brazil, China, India, Indonesia, Ireland, Japan, Jordan, Russia, Senegal, Sri Lanka, UK, USA.  [Appears to ; http://www.savacommission.org/; "
3480,MRU,Mano River Union,Mano River Union (MRU),1973.0,,,
3490,MWN,Mediterranean Water Network,Mediterranean Water Network (MWN),1993.0,,,
4260,Mercosur,MERCOSUR,Southern Common Market/MERCOSUR,1991.0,,,
3530,Montreal,Multilat. Fund for the Implement. of the Montreal Protocol,Multilateral Fund for the Implementation of the Montreal Protocol,1990.0,,,
3560,NACAP,Network of Aquaculture Centers in Asia-Pac,Network of Aquaculture Centres in Asia-Pacific (NACA),1990.0,,,
2572,NAFO,NW Atlantic Fish Org,Northwest Atlantic Fisheries Oranization,1979.0,,,
3670,NAFTA,North American FTA,North American Free Trade Agreement (NAFTA),1993.0,,,
3580,NAM,Non-Aligned Movement,Non-Aligned Movement (NAM),1961.0,,,
3680,NAPPO,N. Am. Plant Protection Org.,North American Plant Protection Organization (NAPPO),1976.0,,,
3690,NASCO,North Atlantic Salmon Conserv. Org.,North Atlantic Salmon Conservation Organization (NASCO),1983.0,,,
3700,NATO,North Atlantic Treaty Org,North Atlantic Treaty Organization (NATO),1949.0,,,
3620,NCM,Nordic Council of Ministers,Nordic Council of Ministers,1971.0,,,
3600,NCRR,Nord. Council for Reindeer Res.,Nordic Council for Reindeer Research,1980.0,2003.0,integrated,
3610,NCTR,Nordic Council for Tax Research,Nordic Council for Tax Research,1973.0,,,
3630,NDF,Nordic Development Fund,Nordic Development Fund (NDF),1989.0,,,
3730,NEAFC,Northeast Atlantic Fisheries Comm,Northeast Atlantic Fisheries Commission (NEAFC),1998.0,,,
3640,NERC,Nordic Econ Res. Council,Nordic Economic Research Council,1979.0,1996.0,,
3650,NIB,Nordic Investment Bank,Nordic Investment Bank,1976.0,,,
2920,NPAFC,North Pacific Anadromous Fish Commission,International North Pacific Fisheries Commission/North Pacific Anadromous Fish C,1952.0,,,
3710,NPFSC,North Pacific Fur Seal Comm,North Pacific Fur Seal Commission,1958.0,1988.0,,
3570,NRC,Niger River Comm,Niger River Commission/Niger Basin Authority,1964.0,,,
3660,NTSC,Nordic Telcomm. Satellite Council,Nordic Telecommunications Satellite Council (NTSR),1965.0,1986.0,,
3665,NWHF,Nordic World Heritage Foundation,Nordic World Heritage Foundation (NWHF),2002.0,,,http://www.recsasec.org/;  http://en.wikipedia.org/wiki/Bank_of_the_South; 
3590,NordC,Nordic Council,Nordic Council,1952.0,,,
3800,OAPEC,Org. Arab Petroleum Export. Countries,Organization of Arab Petroleum Exporting Countries (OAPEC),1968.0,,,
3900,OAS,Pan-Am Union/Org of Am States,Pan American Union (OAS),1890.0,,,
3760,OAU,Org for African Unity,Organization for African Unity,1963.0,2002.0,replaced,
260,OCAM,Common Afro-Malagasy Economic Org,Afro-Malagasy Union (Common Afro-Malagasy Economic Organization) (OCAM),1961.0,1985.0,,
3812,OCAS,Org. Central Am. States,Organization of Central American States,1951.0,1991.0,replaced,
3820,OCCEDCA,Org. of Coord. for Control of Endemic Diseases in Cent. Afr.,Organization of Coordination for the Control of Endemic Diseases in Central Afri,1963.0,,,
3780,OCR,Org for the Collaboration of Railways,Organization for the Collaboration of Railways/WP states/ Organization of Railwa,1956.0,,,
3750,OECD,Org for Econ Coop and Development,Organization for Economic Cooperation and Development (OECD),1961.0,,,
3830,OECS,Org. Eastern Caribbean States,Organization of Eastern Caribbean States (OECS),1981.0,,,
3762,OEEC,Org for European Economic Coop,Organization for European Economic Cooperation (Organization for Economic Cooper,1948.0,1961.0,replaced,
3740,OESAS,Observatorie economique statistique sub-saharan Afr.,Observatoire conomique et statistique d'Afrique subsaharienne,1993.0,,,
3850,OIC,Org. Islamic Conference,Organization of the Islamic Conference (OIC),1969.0,,,
3245,OIV,International Organization of Vine and Wine,International Organization of Vine and Wine,2004.0,,,
3790,OMDKR,Org. Management & Dev. of Kaegara River,Organization for the Management and Development of the Kagera River,1977.0,2000.0,,
280,OPANAL,Agency for Prohib. of Nuclear Arms in Latin Am.,Agency for the Prohibition of Nuclear Weapons in Latin America and the,1969.0,,,
3840,OPEC,Org of Petroleum Exporting Countries,Organization of Petroleum Exporting Countries (OPEC),1960.0,,,
3770,OSCE,Org. Security Cooperation Europe,Organization for Security and Cooperation in Europe (OSCE),1973.0,,,
3855,OSLO,Oslo Commission,Oslo Commission,1972.0,1998.0,,
3860,OSPAR,OSPAR Commission,OSPAR Commission,1998.0,,,
1090,OTIF,Central Office for Intl Railway Transport,Central Office for International Railway Transport/OTIF,1890.0,,,
3925,PAHC,Perm Assoc PanAm Highway Congresses,Permanent Association of Pan American Highway Congresses,1939.0,1952.0,,
3890,PAHO,Pan-Am Health Org,Pan American Sanitary Bureau (PASOrganization/PAHealthOrganization),1902.0,,,
3880,PAIGH,Pan Am Instit of Geog & Hist,Pan American Institute of Geography and History,1928.0,,,
3875,PAP,Pan-African Parliament,Pan-African Parliament,2002.0,,,http://www.gene.ch/gentech/2002/Feb/msg00125.html;  http://www.benproject.org/;  http://www.cslforum.org/;  www.rainforestcoalition.org; 
3910,PC,Paris Commission,Paris Commission (PARCOM),1977.0,1998.0,replaced,
3940,PCA,Permanent Court of Arbitration,Permanent Court of Arbitration,1899.0,,,
3870,PCB,Pacific Cable-Board,Pacific Cable Board,1920.0,1948.0,,
3930,PCSP,Perm Comm for Conserv Maritime South Pacific,Permanent Commission for the Conservation of the Maritime Resources of the South,1952.0,,,
4000,PED,Pole European de Development,PÙle europÈen de dÈveloppement (PED),1985.0,,,
3950,PIARC,World Road Assn,Permanent International Association of Road Congresses/ World Road Association,1908.0,,,
3960,PIBAC,Perm Intl Bureau Analytical Chem-Human & Animal,Permanent International Bureau of the Analytical Chemistry of Human and Animal F,1923.0,1934.0,replaced,
3970,PICDCS,Perm. Interstate Comm. for Drought Control in the Sahel,Permanent Interstate Committee for Drought Control in the Sahel,1973.0,,,
3720,PICES,North Pac. Marine Science Org.,North Pacific Marine Science Organization (PICES),1992.0,,,
3965,PICS,Perm Intl Comm Studies Sanitary Equip,Permanent International Commission of Studies on Sanitary Equipment,1925.0,1938.0,,
4200,PIF,Pacific Island Forum,South Pacific Forum (SPF),1971.0,,,
3920,PIPD,Partners in Population & Development,Partners in Population and Development - A South-South Initiative,1994.0,,,
4010,PMAESA,Port Management Assoc. of E. and S. Africa,Port Management Association of Eastern and Southern Africa (PMAESA),1973.0,,,
4035,PSI,Proliferation Security Initiative,Proliferation Security Initiative (PSI),2003.0,,,http://www.ghsi.ca/english/index.asp;  http://www.earthobservations.org/;  http://www.icc-cpi.int/home.html&l=en; 
3980,PSNARCO,Perm. Sec. of the S. Am. Agr. on Narcotic Drugs,Permanent Secretariat of the South American Agreement on Narcotic Drugs and Psyc,1979.0,1998.0,,
4030,PTASEA,Pref Trade Area: S & E Africa,Preferential Trade Agreement for Southern & Eastern Africa,1981.0,1993.0,replaced,
4020,PUASP,"Postal Union of Am, Spain, Port","Postal Union of the Americas and Spain/Postal Union of the Americas, Spain, and ",1911.0,,,
4050,RASCOM,Reg. Afr. Satellite Comm. Org.,Regional African Satellite Communications Organization (RASCOM),1992.0,,,
4080,RCAELA,Reg. Council for Adult Educ. & Literacy in Africa,Regional Council for Adult Education and Literacy in Africa,1974.0,,,
4060,RCC,Reg Commonwealth in the Field of Comm,Regional Commonwealth in the Field of Communications (RCC),1991.0,,,
4055,RECSA,Regional Centre on Small Arms and Light Weapons,Regional Centre on Small Arms and Light Weapons (RECSA),2004.0,,,"http://www.nwhf.no/;   Website (accessed 10/31/08) indicates that Board of Governors consists of reps from UNESCO plus 5 states: Norway, Denmark, Finland, Iceland, Sweden.; http://www.africa-union.org/root/au/organs/Pan-African_Parliament_en.htm; "
4090,RIMMO,Reserve internationale medit. occidentale,RÈserve internationale maritime en mÈditerranÈe occidentale (RIMMO),1992.0,,,
3060,RIOPPAH,Intl Reg Org against Plant & Animal Disease,International Regional Organization against Plant and Animal Diseases/Internatio,1953.0,,,
4100,RIOgroup,Rio Group,Rio Group,1986.0,,,
4040,RadioU,Radiotelegraph Union,Radiotelegraph Union,1906.0,1926.0,,
4085,RepCom,Reparation Commission,Reparation Commission,1919.0,1933.0,,
4270,SAAFA,Special Arab Aid Fund for Africa,Special Arab Aid Fund for Africa (SAAFA),1974.0,1977.0,,
4170,SAARC,South Asian Assoc Regional Coop,South Asian Association for Regional Cooperation (SAARC),1985.0,,,
4160,SACEP,S. Asia Coop. Environment Prog.,South Asia Cooperative Environment Programme (SACEP),1983.0,,,
4240,SACU,Southern African CU,Southern African Customs Union (SACU),1969.0,,,
4250,SADC,Southern African Dev. Community,Southern African Development Community (SADC),1992.0,,,
4251,SADCC,Southern African Dev. Coordination Conf.,Southern African Development Coordination Conference (SADCC),1980.0,1992.0,replaced,
4140,SAMI,Societe arabe des mines de l'Inchiri,Soci t arabe des mines de l'Inchiri (SAMIN),1980.0,,,
4230,SARTC,Souoth African Regional Tourism Council,Southern Africa Regional Tourism Council (SARTOC),1973.0,1996.0,,
4280,SCA,Suez Canal Admin,Suez Canal Administration,1888.0,1914.0,,
4110,SCAf,Scientific Council in SSA,Scientific Council for Africa South of the Sahara,1950.0,1965.0,,
4300,SCH,Superior Council of Health,Superior Council of Health,1838.0,1914.0,,
1930,SCHENGEN,Group of Schengen,Group of Schengen,1985.0,1999.0,integrated,
4220,SEAMEO,Southeast Asian Minist. of Educ. Org.,Southeast Asian Ministers of Education Organization (SEAMEO),1965.0,,,
4210,SEATO,Southeast Asia Treaty Organization,Southeast Asia Treaty Organization (SEATO),1956.0,1977.0,,
2015,SEGIB,Ibero-American General Secretariat,Ibero-American General Secretariat (SEGIB),2003.0,,,http://www.earthobservations.org/;  http://www.icc-cpi.int/home.html&l=en;  http://www.2ie-edu.org/; 
3390,SELA,Latin American Economic System,Latin American Economic System/SELA,1975.0,,,
990,SICA,Central American Integration System,Central American Integration System (SICA),1991.0,,,
1890,SIECA,General Treaty on Cent Am Econ Integration,General Treaty on Central American Economic Integration/Permanent Secretariate o,1960.0,,,
4180,SITTDEC,"South Investment, Trade & Tech. Data Exchg. Center","South Investment, Trade and Technological Data Exchange Centre",1990.0,,,
4190,SPC,South Pacific Comm,South Pacific Commission/Secretariat of the Pacific Commission (SPC),1947.0,,,
4130,SRDO,Senegal River Dev. Org.,Senegal River Development Organization,1972.0,,,
4150,SWAPU,South & West African Postal Union,South and West Asia Postal Union (SWAPU),1987.0,2002.0,,
4265,SWPD,South-West Pacific Dialogue,South-West Pacific Dialogue (SWPD),2002.0,,,"http://www.kbri-canberra.org.au/press/press041203e_deplu.htm - http://www.dfat.gov.au/asean/joint_media_statement.html - www.mne.gov.tl/en/index.php?option=com_content&view=article&id=20&Itemid=55;  http://portal.unesco.org/education/en/ev.php-URL_ID=31056&URL_DO=DO_TOPIC&URL_SECTION=201.html - www.lins.no/events/NETF%20Completion%2007%20Presentations/FAPED%20Program.ppt - www.dakar.unesco.org/news/faped/en/020131_faped.shtml;   Dakar Website (accessed 11/1/08): [lists Mauritius,  Namibia, Senegal, Sudan, Tanzania as the countries that participated in drafting Charter in 2002].  YIO lists as H (Inactive), but Power Point presentation website from 2007 indicates it is; http://www.unctad.org/infocomm/anglais/rubber/ecopolicies.htm#ITRO;  Website; Notes"
4290,SugU,Sugar Union,Sugar Union,1902.0,1913.0,,
4330,TARHEC,Tropical Ag. Research & Higher Educ. Center,Tropical Agriculture Research and Higher Education Center,1973.0,,,
4320,TCRMG,Tripartite Agreement for Monetary Gold,Tripartite Commission for the Restitution of Monetary Gold,1946.0,1998.0,,
4310,TIC,Trade/Invest Council,Trade and Investment Council,1998.0,,,
3330,Turksoy,Joint Admin. of Turkish Culture & Arts,Joint Administration of the Turkic Culture and Arts (TURKSOY),1993.0,,,
4380,UASC,United Arab Shipping Co.,United Arab Shipping Company (UASC),1976.0,,,
4370,UBEC,Union of Banana Exporting Countries,Union of Banana Exporting Countries,1974.0,1996.0,,
940,UDEAC,Central African Customs & Economic Union,Central African Customs and Economic Union (UDEAC),1964.0,1994.0,replaced,
4340,UEMOA,West African Economic & Monetary Union,Union conomique et mon taire Ouest africaine (UEMOA),1994.0,,,
4350,UIUCV,Union for Intl Use of Carriages & Vans,Union for the International Use of Carriages and Vans,1923.0,1979.0,,
4390,UKDWD,UK Dominion Wool Disposals,United Kingdom--Dominion Wool Disposals,1945.0,1953.0,,
4365,UMAC,Central African Monetary Union,Union montaire de l'Afrique centrale (UMAC),1972.0,1994.0,replaced,
4503,UMOA,West African Monetary Union,West African Monetary Union/UMOA,1962.0,1994.0,integrated,
4400,UN,United Nations,United Nations,1945.0,,,
2790,UNDROIT,Intl Instit for Unification of Private Law,International Institute for the Unification of Private Law/UNIDROIT,1926.0,,,
4410,UNESCO,"UN Education, Scientific, & Cultural Org","United Nations Educational, Scientific, and Cultural Organization (UNESCO)",1945.0,,,
4420,UNIDO,UN Industrial Development Org,United Nations Industrial Development Organization (UNIDO),1966.0,,,
4430,UPU,Universal Postal Union,Universal Postal Union,1874.0,,,
4440,USP,Univ. of South Pacific,University of the South Pacific (USP),1967.0,,,
1940,VALDIVIA,Group of S. Hemisp. Countries on Env.,Group of Temperate Southern Hemisphere Countries on the Environment/VALDIVA Grou,1995.0,,,
4450,VASAB,Vision & Strategies Around Baltic Sea,Vision and Strategies around the Baltic Sea 2010 (VASAB 2010),1992.0,,,
4490,WAEC,West Afr. Examinations Council,West African Examinations Council,1951.0,,,
4500,WAHC,West African Health Community,West African Health Community (WAHC),1972.0,1987.0,,
4501,WAHO,West African Health Organization,West African Health Organization,1988.0,,,
4480,WARDA,West Africa Rice Dev. Assoc.,West Africa Rice Development Association (WARDA),1970.0,,,
4540,WCDC,Working Community of Danube Countries,Working Community of the Danube Countries,1990.0,,,
1650,WCO,World Customs Org,European Customs Union Study Group (Customs Cooperation Council) (World Customs,1950.0,,,
4510,WEU,Western European Union,Western European Union (WEU),1955.0,,,
4550,WHO,World Health Org,World Health Organization,1946.0,,,
4560,WIPO,World Intell Prop Org,World Intellectual Property Organization (WIPO),1967.0,,,
4530,WMO,World Meteorological Org,World Meteorological Organization,1947.0,,,
4520,WNF,West Nordic Fund,West-Nordic Foundation,1987.0,,,
4460,WPact,Warsaw Treaty Org,Warsaw Treaty Organization,1955.0,1991.0,,
4580,WTO,World Trade Org,World Trade Organization (WTO),1995.0,,,
4570,WTOURO,World Tourism Org.,World Tourism Organization (WTO),1975.0,,,
4470,Wassen,Wassenaar Arrangement,Wassenaar Arrangement on Export Controls for Conventional Arms and,1996.0,,,
