WarID,WarShortName,WarLongName,WarType,WarTypeName,IsIntervention,IsInternational
590,Third Venezuelan,Third Venezuelan War of 1868-1871,4,Intra-State War,,
591,Spanish Liberals,Spanish Liberals War of 1868,4,Intra-State War,,
592,Guerre des Cacos,Guerre des Cacos of 1869,4,Intra-State War,,
593,Fourth Argentina,Fourth Argentina War of 1870-1871,5,Intra-State War,,
595,Bolivia-Criollos,Bolivia-Criollos War of 1870-1871,4,Intra-State War,,
596,Paris Commune,Paris Commune War of 1871,4,Intra-State War,,
597,Third Carlist,Third Carlist War of 1872-1876,4,Intra-State War,,
598,Catonalist Uprising,Catonalist Uprising of 1874-1875,5,Intra-State War,,
600,Fifth Argentina,Fifth Argentina War of 1874,4,Intra-State War,,
601,Bosnia & Bulgaria Revolt,Bosnia and Bulgaria Revolt of 1875-1876,5,Intra-State War,,
602,Diaz Revolt,Diaz Revolt of 1876,4,Intra-State War,,
603,Defeat of Xinjiang Muslims,Defeat of Xinjiang Muslims of 1876-1877,5,Intra-State War,,
605,Third Colombian,Third Colombian War of 1876-1877,4,Intra-State War,,
607,Satsuma Rebellion,Satsuma Rebellion of 1877,5,Intra-State War,,
608,Argentine Indians,Argentine Indians War of 1879-1880,5,Intra-State War,,
610,Fourth Buenos Aires,Fourth Buenos Aires War of 1880,5,Intra-State War,,
611,Haitian Civil War,Haitian Civil War of 1883-1884,4,Intra-State War,,
612,Fourth Colombian,Fourth Colombian War of 1884-1885,4,Intra-State War,,
613,Peru's National Problem,Peru's National Problem of 1885,5,Intra-State War,,
616,First Yemen Rebellion,First Yemeni Rebellion of 1890-1892,5,Intra-State War,,
617,Second Chilean,Second Chilean War of 1891,4,Intra-State War,,
618,Zaili-Jinden Revolt,Zaili-Jinden Revolt of 1891,5,Intra-State War,,
620,Brazil Federalists,Brazil Federalists War of 1893-1894,5,Intra-State War,,
621,Brazil Naval,Brazil Naval War of 1893-1894,4,Intra-State War,,
623,Tonghak Rebellion,Tonghak Rebellion of 1894,4,Intra-State War,,
625,Third Peru,Third Peru War of 1894-1895,4,Intra-State War,,
626,Fifth Colombian,Fifth Colombian War of 1895,4,Intra-State War,,
627,Ecuador Liberals,Ecuador Liberals War of 1895,4,Intra-State War,,
628,First Gansu Muslim,First Gansu Muslim War of 1895-1896,5,Intra-State War,,
630,Druze-Turkish,Druze-Turkish War of 1895-1896,5,Intra-State War,,
631,Second Cretan,Second Cretan War of 1896-1897,5,Intra-State War,,
632,Third Brazil-Canudos,Third Brazil-Canudos War of 1896-1897,5,Intra-State War,,
633,Fourth Venezuelan,Fourth Venezuelan War of 1899,4,Intra-State War,,
635,Second Yaqui War,Second Yaqui War of 1899-1900,5,Intra-State War,,
636,Sixth Colombian (War of the 1000 Days),"Sixth Colombian (War of the 1,000 Days) of 1899-1902",4,Intra-State War,,
638,Fifth Venezuelan,Fifth Venezuelan War of 1901-1903,4,Intra-State War,,
640,Ilinden,Ilinden War of 1903,5,Intra-State War,,
641,First Uruguay,First Uruguay War of 1904,4,Intra-State War,,
642,Second Yemen Rebellion,Second Yemeni Rebellion of 1904-1906,5,Intra-State War,,
643,Bloody Sunday,Bloody Sunday War of 1905-1906,4,Intra-State War,,
645,Romanian Peasant Revolt,Romanian Peasant Revolt of 1907,4,Intra-State War,,
646,Overthrow of Abd el-Aziz,Overthrow of Abd el-Aziz of 1907-1908,4,Intra-State War,,
647,Iranian Constitution War,Iranian Constitution War of 1908-1909,4,Intra-State War,,
648,Young Turks Counter-coup,Young Turks Counter-coup of 1909,4,Intra-State War,,
650,Second Albanian Revolt,Second Albanian Revolt of 1910-1912,5,Intra-State War,,
651,Asir-Yemen Revolt,Asir-Yemen Revolt of 1910-1911,5,Intra-State War,,
652,Third Mexican,Third Mexican War of 1910-1914,4,Intra-State War,,
656,Paraguay,Paraguay War of 1911-1912,4,Intra-State War,,
657,First Nationalist,First Nationalists War of 1911,4,Intra-State War,,
658,Cuban Black Uprising,Cuban Black Uprising of 1912,5,Intra-State War,,
670,Ecuadorian Civil War,Ecuadorian Civil War of 1912-1914,5,Intra-State War,,
671,Second Nationalist,Second Nationalists War of 1913,4,Intra-State War,,
672,China Pai Ling (White Wolf),China Pai Ling (White Wolf) War of 1914,5,Intra-State War,,
673,Fourth Mexican,Fourth Mexican War of 1914-1920,4,Intra-State War,,
675,Southern China Revolt,Southern China Revolt of 1916-1918,5,Intra-State War,,
676,Russia-Turkestan,Russia-Turkestan War of 1916-1917,5,Intra-State War,,
677,Russian Civil War,Russian Civil War of 1917-1921,4,Intra-State War,,
680,Finnish Civil War,Finnish Civil War of 1918,4,Intra-State War,,
681,Western Ukrainian,Western Ukrainian War of 1918-1919,6,Intra-State War,,
682,Sparticist Rising,Sparticist Rising of 1919,7,Intra-State War,,
683,Hungary's Red Terror,Hungary's Red Terror War of 1919-1920,4,Intra-State War,,
685,First Chinese Warlord,First Chinese Warlord War of 1920,7,Intra-State War,,
686,Green Rebellion,Green Rebellion of 1920-1921,5,Intra-State War,,
687,Gilan Marxists,Gilan Marxists War of 1920-1921,4,Intra-State War,,
688,Italian Fascist,Italian Fascist War of 1920-1922,7,Intra-State War,,
690,Kronstadt Rebellion,Kronstadt Rebellion of 1921,5,Intra-State War,,
691,Bashmachi in Turkestan,Bashmachi in Turkestan War of 1921-1923,5,Intra-State War,,
692,Second Chinese Warlord,Second Chinese Warlord War of 1922,7,Intra-State War,,
693,Agrarian Rising,Agrarian Rising of 1923,4,Intra-State War,,
695,De La Huerta Rebellion,De La Huerta Rebellion of 1923-1924,4,Intra-State War,,
696,Honduran Conservative,Honduran Conservative War of 1924,4,Intra-State War,,
697,First Afghan Anti-Reform,First Afghan Anti-Reform War of 1924-1925,4,Intra-State War,,
698,Third Chinese Warlord,Third Chinese Warlord War of 1925-1926,6,Intra-State War,,
700,Chinese Northern Expedition,Chinese Northern Expedition War of 1926-1928,4,Intra-State War,,
701,Cristeros Revolt,Cristeros Revolt of 1926-1929,4,Intra-State War,,
702,Ethiopian Northern Resistance,Ethiopian Northern Resistance of 1928-1930,5,Intra-State War,,
703,Second Gansu Muslim,Second Gansu Muslim War of 1928-1930,5,Intra-State War,,
705,Second Afghan Anti-Reform,Second Afghan Anti-Reform War of 1928-1929,4,Intra-State War,,
706,Intra-Guomindang,Intra-Guomindang War of 1929-1930,4,Intra-State War,,
707,Escobar Rebellion,Escoban Rebellion of 1929,4,Intra-State War,,
708,Ikhwan Revolt,Ikhwan Revolt of 1929-1930,4,Intra-State War,,
710,"Chinese Civil War, Phase 1",Chinese Civil War Phase 1 of 1930-1936,4,Intra-State War,,
711,Xinjiang Muslim Revolt,Xinjiang Muslim Revolt of 1931-1934,5,Intra-State War,,
712,Matanza,Matanza War of 1932,4,Intra-State War,,
713,Aprista Revolt,Aprista Revolt of 1932,4,Intra-State War,,
715,Paulista Rebellion,Paulista Rebellion of 1932,4,Intra-State War,,
716,Fukien Revolt,Fukien Revolt of 1934,4,Intra-State War,,
717,Spanish Miners,Spanish Miners War of 1934,5,Intra-State War,,
718,Spanish Civil War,Spanish Civil War of 1936-1939,4,Intra-State War,,
720,Greek Civil War,Greek Civil War of 1944-1949,4,Intra-State War,,
721,Polish Ukrainians,Polish Ukrainians War of 1945-1947,5,Intra-State War,,
722,Ukrainian Partisans,Ukrainian Partisans War of 1945-1947,5,Intra-State War,,
723,Forest Brethren,Forest Brethren War of 1945-1951,5,Intra-State War,,
725,"Chinese Civil War, Phase 2",Chinese Civil War Phase 2 of 1946-1950,4,Intra-State War,,
726,Taiwan Revolt,Taiwan Revolt of 1947,5,Intra-State War,,
727,Paraguay,Paraguay War of 1947,4,Intra-State War,,
728,Yemeni Imamate,Yemeni Imamate War of 1948,4,Intra-State War,,
730,Costa Rica,Costa Rica War of 1948,4,Intra-State War,,
731,"Seventh Colombian ""La Violencia""","Seventh Colombian (""La Violencia"") War of 1948-1958",4,Intra-State War,,
732,First Burmese,First Burmese War of 1948-1951,5,Intra-State War,,
733,South Moluccas,South Moluccas War of 1950,5,Intra-State War,,
735,Hukbalahap Rebellion,Hukbalahap Rebellion of 1950-1954,4,Intra-State War,,
737,Bolivia,Bolivia War of 1952,4,Intra-State War,,
738,Indonesia Darul Islam,Indonesia-Darul Islam War of 1953,4,Intra-State War,,
740,Argentine Military,Argentine Military War of 1955,4,Intra-State War,,
741,Tibetan Khamba Rebellion,Tibetan Khamba Rebellion of 1956-1959,5,Intra-State War,,
742,Indonesian Leftists,Indonesian Leftists War of 1956-1962,4,Intra-State War,,
743,First Lebanese,First Lebanese War of 1958,4,Intra-State War,,
745,Cuban Revolution,Cuban Revolution of 1958-1959,4,Intra-State War,,
746,Second Burmese,Second Burmese War of 1958-1960,4,Intra-State War,,
747,Iraq-Shammar,Iraq-Shammar War of 1959,4,Intra-State War,,
748,Vietnam Phase 1,Vietnam War Phase 1 of 1960-1965,4,Intra-State War,,
750,First DRC (Zaire),First DRC (Zaire) War of 1960-1963,5,Intra-State War,,
751,First Laotian,First Laotian War of 1960-1962,4,Intra-State War,,
752,First Iraqi Kurd,First Iraqi Kurds War of 1961-1963,5,Intra-State War,,
753,Algerian Revolutionaries,Algerian Revolutionaries War of 1962-1963,4,Intra-State War,,
755,North Yemen,North Yemen War of 1962-1969,4,Intra-State War,,
756,Second Laotian Phase 1,Second Laotian War Phase 1 of 1963-1968,4,Intra-State War,,
757,First Ogaden,First Ogaden War of 1963-1964,5,Intra-State War,,
758,First South Sudan,First South Sudan War of 1963-1972,5,Intra-State War,,
760,Second DRC (Jeunesse),Second DRC (Jeunesse) War of 1963-1965,5,Intra-State War,,
761,First Rwanda,First Rwanda War of 1963-1964,4,Intra-State War,,
762,Third DRC (Simba) Rebellion,Third DRC (Simba) Rebellion of 1964-1965,4,Intra-State War,,
763,Zanzibar Arab-African,Zanzibar Arab-African War of 1964,4,Intra-State War,,
765,Second Iraqi Kurds,Second Iraqi Kurds War of 1965-1966,5,Intra-State War,,
766,Dominican Republic,Dominican Republic War of 1965,4,Intra-State War,,
767,First West Papua,First West Papua War of 1965-1969,5,Intra-State War,,
768,First Uganda,First Uganda War of 1966,5,Intra-State War,,
770,First Guatemala,First Guatemala War of 1966-1968,4,Intra-State War,,
771,First Chad (FROLINAT) Rebellion,First Chad (FROLINAT) Rebellion of 1966-1971,5,Intra-State War,,
772,Cultural Revolution Phase 1,Cultural Revolution Phase 1 of 1967,6,Intra-State War,,
773,Third Burmese,Third Burmese War of 1967-1980,5,Intra-State War,,
775,Biafra,Biafra War of 1967-1970,5,Intra-State War,,
776,Cultural Revolution Phase 2,Cultural Revolution Phase 2 of 1967-1968,4,Intra-State War,,
777,Third Iraqi Kurds,Third Iraqi Kurds War of 1969-1970,5,Intra-State War,,
778,Naxalite Rebellion,Naxalite Rebellion of 1970-1971,5,Intra-State War,,
780,Black September,Black September War of 1970,4,Intra-State War,,
781,Second Guatemala,Second Guatemala War of 1970-1971,4,Intra-State War,,
782,Pakistan-Bengal,Pakistan-Bengal War of 1971,5,Intra-State War,,
783,First Sri Lanka-JVP,First Sri Lanka-JVP War of 1971,4,Intra-State War,,
785,Khmer Rouge,Khmer Rouge War of 1971-1975,4,Intra-State War,,
786,First Philippine-Moro,First Philippine-Moro War of 1972-1981,5,Intra-State War,,
787,Communist Insurgency,Communist Insurgency of 1972-1973,4,Intra-State War,,
788,Eritrean Split,Eritrean Split of 1972-1974,7,Intra-State War,,
789,First Burundi,First Burundi War of 1972,4,Intra-State War,,
790,Philippines-NPA,Philippines-NPA War of 1972-1992,4,Intra-State War,,
791,Rhodesia,Rhodesia War of 1972-1979,4,Intra-State War,,
792,Baluchi Separatists,Baluchi Separatists War of 1973-1977,5,Intra-State War,,
793,Chilean Coup of 1973,Chilean Coup of 1973,4,Intra-State War,,
795,Dhofar Rebellion Phase 2,Dhofar Rebellion Phase 2 of 1973-1975,5,Intra-State War,,
797,Fourth Iraqi Kurds,Fourth Iraqi Kurds War of 1974-1975,5,Intra-State War,,
798,Eritrean War,Eritrean War of 1975-1978,5,Intra-State War,,
800,Argentine Leftists,Argentine Leftists War of 1975-1977,4,Intra-State War,,
801,Second Lebanese,Second Lebanese War of 1975-1976,7,Intra-State War,,
802,Second West Papua,Second West Papua War of 1976-1978,5,Intra-State War,,
803,Third Laotian,Third Laotian War of 1976-1979,5,Intra-State War,,
804,Angolan Control,Angolan Control War of 1976-1991,4,Intra-State War,,
805,Second Ogaden Phase 1,Second Ogaden War Phase 1 of 1976-1977,5,Intra-State War,,
806,East Timorese War Phase 3,East Timorese War Phase 3 of 1976-1979,5,Intra-State War,,
807,Third Lebanese,Third Lebanese War of 1978,7,Intra-State War,,
808,Second Ogaden Phase 3,Second Ogaden War Phase 3 of 1978-1980,5,Intra-State War,,
809,Third Guatemala,Third Guatemala War of 1978-1984,4,Intra-State War,,
810,Saur Revolution,Saur Revolution of 1978,4,Intra-State War,,
811,Fourth DRC (Shaba),Fourth DRC (Shaba) War of 1978,4,Intra-State War,,
812,First Afghan Mujahideen Uprising,First Afghan Mujahideen Uprising of 1978-1980,4,Intra-State War,,
813,Overthrow of the Shah,Overthrow of the Shah of 1978-1979,4,Intra-State War,,
815,Sandinista Rebellion,Sandinista Rebellion of 1978-1979,4,Intra-State War,,
816,Anti-Khomeini Coalition,Anti-Khomeini Coalition War of 1979-1984,4,Intra-State War,,
817,El Salvador,El Salvador War of 1979-1992,4,Intra-State War,,
818,Mozambique,Mozambique War of 1979-1992,4,Intra-State War,,
820,Second Chad (Habre Revolt),Second Chad (Habre Revolt) War of 1980-1984,5,Intra-State War,,
822,Second Uganda,Second Uganda War of 1980-1986,5,Intra-State War,,
823,Nigeria-Muslim,Nigeria-Muslim War of 1980-1981,5,Intra-State War,,
825,Hama,Hama War of 1981-1982,4,Intra-State War,,
826,Tigrean and Eritrean,Tigrean and Eritrean War of 1982-1991,5,Intra-State War,,
827,Shining Path,Shining Path War of 1982-1992,4,Intra-State War,,
828,Contra War,Contra War of 1982-1990,4,Intra-State War,,
831,Matabeleland,Matabeleland War of 1983-1987,4,Intra-State War,,
832,Fourth Burmese,Fourth Burmese War of 1983-1988,5,Intra-State War,,
833,Fourth Lebanese Civil,Fourth Lebanese Civil War of 1983-1984,4,Intra-State War,,
835,First Sri Lanka Tamil,First Sri Lanka Tamil War of 1983-2002,5,Intra-State War,,
836,Second South Sudan,Second South Sudan War of 1983-2005,4,Intra-State War,,
837,Indian Golden Temple,Indian Golden Temple War of 1984,5,Intra-State War,,
838,First Turkish Kurds,First Turkish Kurds War of 1984-1986,5,Intra-State War,,
840,Fifth Iraqi  Kurds,Fifth Iraqi Kurds War of 1985-1988,5,Intra-State War,,
842,South Yemen,South Yemen War of 1986,4,Intra-State War,,
843,Holy Spirit Movement,Holy Spirit Movement War of 1986-1987,4,Intra-State War,,
845,Second Sri Lanka-JVP,Second Sri Lanka-JVP War of 1987-1989,4,Intra-State War,,
846,Inkatha-ANC,Inkatha-ANC War of 1987-1994,7,Intra-State War,,
847,Fifth Burmese,Fifth Burmese War of 1988,4,Intra-State War,,
848,First Somalia,First Somalia War of 1988-1991,4,Intra-State War,,
850,Fifth Lebanese,Fifth Lebanese War of 1989-1990,4,Intra-State War,,
851,Second Afghan Mujahideen Uprising,Second Afghan Mujahideen Uprising of 1989-2001,4,Intra-State War,,
852,Third Chad (Deby Coup),Third Chad (Deby Coup) War of 1989-1990,4,Intra-State War,,
853,First Aceh,First Aceh War of 1989-1991,5,Intra-State War,,
854,Bougainville Secession,Bougainville Secession War of 1989-1992,5,Intra-State War,,
856,Eighth Colombia,Eighth Colombian War of 1989-present,5,Intra-State War,,
857,First Cambodian Civil War,First Cambodian Civil War of 1989-1991,4,Intra-State War,,
858,Romania,Romania War of 1989,4,Intra-State War,,
860,First Liberia,The First Liberia War of 1989-1990,4,Intra-State War,,
861,Kashmir Insurgents,Kashmir Insurgents War of 1990-2005,5,Intra-State War,,
862,Shiite and Kurdish,Shiite and Kurdish War of 1991,5,Intra-State War,,
863,First Sierra Leone,First Sierra Leone War of 1991-1996,4,Intra-State War,,
864,Croatian Independence,Croatian Independence War of 1991-1992,5,Intra-State War,,
865,Second Turkish Kurds,Second Turkish Kurds War of 1991-1999,5,Intra-State War,,
866,The SPLA Division (Dinka-Nuer) War,SPLA Division (Dinka-Nuer) War of 1991-1992,7,Intra-State War,,
868,Jukun-Tiv War,Jukun-Tiv War of 1991-1992,7,Intra-State War,,
870,Second Somalia,Second Somalia War of 1991-1997,4,Intra-State War,,
871,Georgia,Georgia War of 1991-1992,4,Intra-State War,,
872,Nagorno-Karabakh,Nagorno-Karabakh War of 1991-1993,5,Intra-State War,,
873,Dniestrian Independence,Dniestrian Independence War of 1991-1992,5,Intra-State War,,
875,Algerian Islamic Front,Algerian Islamic Front War of 1992-1999,4,Intra-State War,,
876,Tajikistan,Tajikistan War of 1992-1997,4,Intra-State War,,
877,Bosnian-Serb Rebellion,Bosnian-Serb Rebellion of 1992-1995,5,Intra-State War,,
878,Second Liberia,Second Liberia War of 1992-1995,4,Intra-State War,,
880,Angolan War of the Cities,Angolan War of Cities of 1992-1994,4,Intra-State War,,
881,Second Cambodia Civil,Second Cambodia Civil War of 1993-1997,4,Intra-State War,,
882,Abkhazia Revolt,Abkhazia Revolt of 1993-1994,5,Intra-State War,,
883,Second Burundi,Second Burundi War of 1993-1998,4,Intra-State War,,
885,South Yemeni Secessionist,South Yemeni Secessionist War of 1994,5,Intra-State War,,
886,Second Rwanda,Second Rwanda War of 1994,4,Intra-State War,,
888,First Chechnya,First Chechnya War of 1994-1996,5,Intra-State War,,
890,Iraqi Kurd Internecine,Iraqi Kurd Internecine War of 1994-1995,7,Intra-State War,,
891,Croatia-Krajina War,Croatia-Krajina War of 1995,5,Intra-State War,,
892,Third Liberia,Third Liberia War of 1996,4,Intra-State War,,
893,Sixth Iraqi Kurds,Sixth Iraqi Kurds War of 1996,5,Intra-State War,,
895,Fifth DRC,Fifth DRC War of 1996-1997,4,Intra-State War,,
896,Third Rwanda,Third Rwanda War of 1997-1998,4,Intra-State War,,
897,First Congo (Brazzaville),First Congo Brazzaville War of 1997,4,Intra-State War,,
898,Second Sierra Leone,Second Sierra Leone War of 1998-2000,4,Intra-State War,,
900,Kosovo Independence,Kosovo Independence War of 1998-1999,5,Intra-State War,,
902,Guinea-Bissau Military,Guinea-Bissau Military War of 1998-1999,4,Intra-State War,,
905,Africa's World War,Africa's World War of 1998-2002,4,Intra-State War,,
906,Fourth Chad (Togoimi Revolt),Fourth Chad (Togoimi Revolt) War of 1998-2000,4,Intra-State War,,
907,Third Angolan,Third Angolan War of 1998-2002,4,Intra-State War,,
908,Second Congo (Brazzaville),Second Congo (Brazzaville) War of 1998-1999,4,Intra-State War,,
910,Moluccas Sectarian,Moluccas Sectarian War of 1999-2000,7,Intra-State War,,
911,First Nigeria Christian-Muslim,First Nigeria Christian-Muslim War of 1999-2000,7,Intra-State War,,
912,Second Aceh,Second Aceh War of 1999-2002,5,Intra-State War,,
913,Oromo Liberation,Oromo Liberation War of 1999,5,Intra-State War,,
915,Second Chechen,Second Chechnya War of 1999-2003,5,Intra-State War,,
916,Second Philippine-Moro,Second Philippine-Moro War of 2000-2001,5,Intra-State War,,
917,Guinean,Guinean War of 2000-2001,4,Intra-State War,,
918,Third Burundi,Third Burundi War of 2001-2003,4,Intra-State War,,
920,Fourth Rwanda,Fourth Rwanda War of 2001,4,Intra-State War,,
921,First Nepal Maoist Insurgency,First Nepal Maoist Insurgency of 2001-2003,4,Intra-State War,,
922,Fourth Liberian,Fourth Liberia War of 2002-2003,4,Intra-State War,,
923,Ethiopian Anyuaa-Nuer,Ethiopian Anyuaa-Nuer War of 2002-2003,7,Intra-State War,,
925,Cote d'Ivoire Military,Cote d'Ivoire Military War of 2002-2004,4,Intra-State War,,
926,Third Philippine-Moro,Third Philippine-Moro War of 2003,5,Intra-State War,,
927,Darfur,Darfur War of 2003-2006,5,Intra-State War,,
930,Third Aceh,Third Aceh War of 2003-2004,5,Intra-State War,,
931,Second Nepal Maoists,Second Nepal Maoists War of 2003-2006,4,Intra-State War,,
932,Waziristan,Waziristan War of 2004-2006,5,Intra-State War,,
933,Second Nigeria Christian-Muslim,Second Nigeria Christian-Muslim War of 2004,7,Intra-State War,,
935,First Yemeni Cleric,First Yemeni Cleric War of 2004-2005,4,Intra-State War,,
936,Philippine Joint Offensive,Philippine Joint Offensive of 2005-2006,5,Intra-State War,,
937,Fifth Chad,Fifth Chad War of 2005-2006,4,Intra-State War,,
938,Third Somalia,Third Somalia War of 2006-2008,4,Intra-State War,,
940,Second Sri Lanka Tamil,Second Sri Lanka Tamil War of 2006-present,5,Intra-State War,,
941,Second Yemeni Cleric,Second Yemeni Cleric War of 2007,4,Intra-State War,,
1500,First Maori Tribal War,First Maori Tribal War of 1818-1824,8,Non-State War,,
1501,Shaka Zulu-Bantu War,Shaka Zulu-Bantu War of 1819-1828,8,Non-State War,,
1502,Burma-Assam War,Burma-Assam War of 1819-1822,8,Non-State War,,
1503,Buenos Aires War,Buenos Aires War of 1820,8,Non-State War,,
1505,Second Maori Tribal War,Second Maori Tribal War of 1821-1823,8,Non-State War,,
1506,Siam-Kedah War,Siam-Kedah War of 1821,8,Non-State War,,
1508,China-Kashgaria War,China-Kashgaria War of 1825-1828,8,Non-State War,,
1509,Mexico-Yaqui Indian War,Mexico-Yaqui Indian War of 1825-1827,8,Non-State War,,
1510,Central American Confederation War,Central American Confederation War of 1826-1829,8,Non-State War,,
1511,Viang Chan- Siamese War,Viang Chan-Siamese War of 1826-1827,8,Non-State War,,
1512,Peru-Gran Colombia War,Peru-Gran Colombia War of 1828-1829,8,Non-State War,,
1513,Argentine War for Unity,Argentine War for Unity of 1829-1831,8,Non-State War,,
1514,Sayyid Said War,Sayyid Said War of 1829-1830,8,Non-State War,,
1515,China-Kokand War,China-Kokand War of 1830-1831,8,Non-State War,,
1516,Siam-Cambodia-Vietnam War,Siam-Cambodia-Vietnam War of 1831-1834,8,Non-State War,,
1518,Argentina-Ranqueles Indian War,Argentine-Ranqueles Indian War of 1833-1834,8,Non-State War,,
1520,Bolivia Conquest of Peru,Bolivia Conquest of Peru in 1835-1836,8,Non-State War,,
1521,Boer-Matabele War,Boer-Matabele War of 1836-1837,8,Non-State War,,
1523,Dissolution of the Bolivia-Peru Confederation,Dissolution of the Bolivia-Peru Confederation of 1837-1839,8,Non-State War,,
1524,Persian Siege of Heart,Persian Siege of Herat of 1837-1838,8,Non-State War,,
1525,Boer-Zulu War,Boer-Zulu War of 1838,8,Non-State War,,
1527,Anti-Rosas War,Anti-Rosas War of 1839-1840,8,Non-State War,,
1528,Dissolution of  the Central American Confederation,Dissolution of the Central American Confederation of 1839-1840,8,Non-State War,,
1530,Dogra-Tibet War,Dogra-Tibet War of 1841-1842,8,Non-State War,,
1531,First Haiti-Santo Domingo War,First Haiti-Santo Domingo War of 1844-1845,8,Non-State War,,
1533,War of  Seven Khojas,War of Seven Khojas 1847,8,Non-State War,,
1534,Taiping Rebellion Phase 1,Taiping Rebellion Phase 1 of 1850-1860,8,Non-State War,,
1535,First Tukulor War,First Tukulor War of 1852-1854,8,Non-State War,,
1536,Kashmir-Dards of Chilas War,Kashmir-Dards of Chilas War of 1852,8,Non-State War,,
1537,Han-Miao War Phase 1,Han-Miao War of 1854-1860,8,Non-State War,,
1538,Second Haiti-Santo Domingo War,Second Haiti-Santo Domingo War of 1855-1856,8,Non-State War,,
1539,Han-Nien War,Han-Nien War of 1855-1858,8,Non-State War,,
1540,Filibuster War,Filibuster War of 1856-1857,8,Non-State War,,
1541,Han-Panthay War Phase 1,Han-Panthay War Phase 1 of 1856-1860,8,Non-State War,,
1542,First Zulu Internecine War,First Zulu Internecine War of 1856,8,Non-State War,,
1543,Kucha and Khoja Uprising,Kucha and Khoja Uprising of 1857,8,Non-State War,,
1544,First Boer-Basuto War,First Boer-Basuto War of 1858,8,Non-State War,,
1545,First Ethiopian War,First Ethiopian War of 1858-1861,8,Non-State War,,
1546,Second Tukulor War,Second Tukulor War of 1860-1862,8,Non-State War,,
1548,Transvaal War,Transvaal War of 1862-1864,8,Non-State War,,
1550,Central American War,Central American War of 1863,8,Non-State War,,
1551,First Australian Aboriginal War,First Australian Aboriginal War of 1864-1865,8,Non-State War,,
1552,Second Boer-Basuto War,Second Boer-Basuto War of 1865-1866,8,Non-State War,,
1553,Second Ethiopian War,Second Ethiopian War of 1868-1872,8,Non-State War,,
1554,Uruguay Colorados-Blancos War,Uruguay Colorados-Blancos War of 1870-1872,8,Non-State War,,
1556,Second Zulu Internecine War,Second Zulu Internecine War of 1883-1884,8,Non-State War,,
1557,Oman-Ibadi War,Oman-Ibadi War of 1883-1884,8,Non-State War,,
1558,Second Australian Aboriginal War,Second Australian Aboriginal War of 1884-1894,8,Non-State War,,
1559,Ethiopia-Mahdi War,Ethiopia-Mahdi War of 1885-1889,8,Non-State War,,
1560,German East Africa Company War,German East Africa Company War of 1888-1889,8,Non-State War,,
1561,Rabih Zubayr-Bornu War,Rabih Zubayr-Bornu War of 1893,8,Non-State War,,
1567,First Nejd-Hejaz War,First Nejd-Hejaz War of 1919,8,Non-State War,,
1568,Second Nejd-Hejaz War,Second Nejd-Hejaz War of 1924-1925,8,Non-State War,,
1570,Partition Communal War,Partition Communal War of 1946-1947,8,Non-State War,,
1571,Hyderabad War,Hyderabad War of 1947-1948,8,Non-State War,,
1572,Palestine War,Palestine War of 1947-1948,8,Non-State War,,
1573,Cheju Rebellion,Cheju Rebellion of 1948-1949,8,Non-State War,,
1574,Rwandan Social Revolution,Rwandan Social Revolution of 1959-1962,8,Non-State War,,
1577,Dhofar Rebellion Phase 1,Dhofar Rebellion Phase 1 of 1968-1971,8,Non-State War,,
1581,Angola Guerilla War,Angola Guerilla War of 1974-1975,8,Non-State War,,
1582,East Timorese War Phase 1,East Timorese War Phase 1 of 1975,8,Non-State War,,
1594,Hemda-Lendu War,Hema-Lendu War of 1999-2005,9,Non-State War,,
